longitude,latitude,code_postal,surface_reelle_bati,nombre_pieces_principales,prix_m2_ref,number_of_lots,season,valeur_fonciere_actualisee
2.2339788634732782,48.82882066779232,7508,69.30090030464481,4,9848.31703220121,2.0,2,1003661.0
2.3300061762284616,48.830469524505865,75012,55.02129579524559,3,9935.066867676536,3.0,3,588355.0
2.355183790295884,48.84672047976895,75014,68.37544222579345,6,10062.666974334055,1.0,0,605801.0
2.359348756491564,48.82252115393327,7500,72.9981598062781,6,9981.88888607979,2.0,3,1106772.0
2.4793014658202246,48.89281564467738,75010,95.19042713558696,2,9903.611678623716,1.0,1,880784.0
2.4340636566486067,48.83504836469071,75011,60.39306371471108,5,10149.03143443424,2.0,2,831334.0
2.234057102467216,48.86308596316057,75016,109.66844039308938,4,9678.120674588112,1.0,3,1369517.0
2.328892180531928,48.87626835802883,75017,77.04799943613867,3,9899.474939437398,3.0,1,974075.0
2.3204247393928146,48.87941883819495,75015,69.95936937220142,4,9813.040070612808,1.0,1,890622.0
2.2407535417386835,48.83122277038618,7501,113.2708034786926,4,10006.394372127985,4.0,2,871622.0
2.3732906791574626,48.85716040337764,7503,142.36196144577232,1,9983.017238897526,2.0,2,985674.0
2.251124422458235,48.85210060793648,7506,56.15746529444343,5,9841.359840436731,0.0,3,820530.0
2.267705954071129,48.84927187408999,7501,112.90605392094784,2,10006.394372127985,1.0,3,1361857.0
2.254076168329956,48.84752376208456,75012,130.8741187156449,4,9935.066867676536,1.0,3,1244016.0
2.2914988482487564,48.84531046680591,7501,49.10586310637956,4,10006.394372127985,1.0,2,689466.0
2.3609884514494466,48.89502372365531,7506,78.64577878504768,2,9841.359840436731,1.0,2,568948.0
2.407831987227324,48.88672563756612,7503,46.56800239460644,4,9983.017238897526,1.0,3,616301.0
2.3273738403794586,48.86249428849922,7509,52.090759030328826,5,9775.064380528089,1.0,3,703760.0
2.3177795885619976,48.89062184579719,75019,120.8560151025733,2,9910.289427293848,2.0,2,878827.0
2.374325913571885,48.85746953652586,7507,108.6601521209282,5,10160.7203358053,0.0,2,791601.0
2.2251932219614385,48.86137906611473,7507,77.15243316972376,4,10160.7203358053,2.0,1,987266.0
2.3905917725086607,48.81199837175979,7506,115.03308154255382,3,9841.359840436731,1.0,3,807903.0
2.29423082634108,48.85722842486379,7506,71.62851711534762,1,9841.359840436731,1.0,0,723683.0
2.293645344070439,48.890310409969175,75015,55.940107466191336,3,9813.040070612808,2.0,1,675869.0
2.3257344913406386,48.89819679302885,7501,122.69215541206182,1,10006.394372127985,1.0,3,1485343.0
2.22163560126196,48.89786819063318,7504,128.69721289227462,5,10257.726066885674,4.0,3,1102218.0
2.2755721155612525,48.85072523701402,7501,84.22573783854779,1,10006.394372127985,1.0,2,997056.0
2.391128411702257,48.856400043126605,75013,146.7734771888064,1,10190.767780889602,1.0,3,1594743.0
2.355723603496308,48.85786360351289,75010,50.43187835827263,5,9903.611678623716,0.0,2,474671.0
2.4726703890481416,48.86950805481703,75010,80.42757011811192,1,9903.611678623716,0.0,3,802638.0
2.416872912089137,48.89036302039907,7505,80.87454139404056,4,9974.4015549417,0.0,2,751538.0
2.2367014414534974,48.84958931584301,75017,90.3805108341055,2,9899.474939437398,3.0,1,887230.0
2.4640849158599747,48.87920357845016,75019,75.5286638626119,2,9910.289427293848,1.0,3,733913.0
2.4400418263404893,48.88159816955061,7504,103.71979503115236,3,10257.726066885674,1.0,1,1330262.0
2.273328228398448,48.84733745733735,7501,79.59928981178122,1,10006.394372127985,2.0,0,1084398.0
2.4389977364064515,48.81093529502402,75016,109.4652283421496,5,9678.120674588112,2.0,3,1472091.0
2.469606601296247,48.8940886576575,75016,75.60917198576675,6,9678.120674588112,1.0,0,1158164.0
2.468480201224796,48.82783177248802,75013,127.17910610955944,3,10190.767780889602,3.0,3,1147432.0
2.2418209118286163,48.81576789009684,7504,38.46956005185282,3,10257.726066885674,1.0,2,522638.0
2.471120085361217,48.82966273585102,7502,69.10578033465418,1,9569.91693818043,2.0,0,713057.0
2.250750236241755,48.88185893176232,7500,132.53219910707992,3,9981.88888607979,1.0,1,1363152.0
2.401565752776716,48.87910827265284,7507,104.3602528774081,5,10160.7203358053,2.0,3,1528418.0
2.390084655696167,48.81734751159844,7501,88.54886364500288,1,10006.394372127985,1.0,2,1255985.0
2.226891495456804,48.85667265275962,75018,104.99502628885364,5,9846.536214329111,1.0,0,1207820.0
2.388425862698952,48.88148130412948,7503,77.62034159985342,3,9983.017238897526,2.0,1,927087.0
2.29316375719748,48.88278145286616,75019,86.15398602047723,5,9910.289427293848,1.0,3,540414.0
2.2448153430199413,48.88135714418393,75010,44.35190038174752,4,9903.611678623716,1.0,2,416717.0
2.247944245735909,48.812276824632,7508,72.0753927037327,5,9848.31703220121,1.0,0,927952.0
2.4688959786152127,48.863174143965786,75013,56.2262437528303,1,10190.767780889602,1.0,3,609575.0
2.268283152311902,48.864974508154354,7501,92.7106304692907,2,10006.394372127985,1.0,0,692004.0
2.42205322134072,48.81492583711541,7505,65.45724332675957,2,9974.4015549417,1.0,2,942335.0
2.258868292032285,48.85101156192204,7508,75.63275990349092,6,9848.31703220121,1.0,2,1064027.0
2.222948917904749,48.83684875882288,75019,52.97679375693717,6,9910.289427293848,2.0,0,726728.0
2.255573505529808,48.83357996322502,7507,52.12944975853716,2,10160.7203358053,1.0,0,439867.0
2.4743008141522576,48.87552900368917,7505,104.93716945927756,1,9974.4015549417,3.0,3,1340393.0
2.402068020275889,48.87446306490101,75018,38.49062946933413,3,9846.536214329111,1.0,1,221688.0
2.389324363498913,48.855608588080095,75010,88.73742259440543,2,9903.611678623716,1.0,0,1087000.0
2.4424502303831304,48.87374518258473,75019,149.82806957309032,4,9910.289427293848,3.0,0,1491114.0
2.467335039716132,48.82323291573365,75010,115.02415976974726,1,9903.611678623716,2.0,0,692668.0
2.4111333221742752,48.866053741609015,7502,128.4866304578252,5,9569.91693818043,3.0,3,1422113.0
2.372933917809048,48.8313381410693,7505,110.53452267968328,6,9974.4015549417,0.0,3,883500.0
2.454000480308274,48.82006811933897,7503,50.94481289258419,5,9983.017238897526,1.0,1,661727.0
2.439260290081158,48.83946436661843,7506,65.97701642442138,6,9841.359840436731,1.0,1,840147.0
2.4254499422173112,48.83230938283146,75018,77.29697128739119,6,9846.536214329111,3.0,0,864522.0
2.253673883775756,48.84755955576048,75014,44.78626230908127,6,10062.666974334055,2.0,0,656272.0
2.270025905845518,48.82171522560008,75016,62.913211182530524,6,9678.120674588112,1.0,1,634970.0
2.24432964952061,48.86981977743011,75014,98.57431129650352,5,10062.666974334055,3.0,2,1107311.0
2.262336135985026,48.88569736253907,75016,100.40761222306377,6,9678.120674588112,2.0,1,1226662.0
2.263914265257073,48.813011113490205,75016,114.09493614522982,2,9678.120674588112,0.0,2,1522784.0
2.3258355883221054,48.82799287840476,7508,137.59686781239606,4,9848.31703220121,2.0,2,1410218.0
2.3743414578463526,48.87344413622794,75014,144.35089881079438,4,10062.666974334055,1.0,2,1292781.0
2.29279798780381,48.89075088357224,75019,149.80358239836215,1,9910.289427293848,1.0,1,1629018.0
2.248888895197067,48.86642275790823,7505,83.4280508558601,4,9974.4015549417,0.0,2,637052.0
2.429750563068222,48.83552594856452,75012,100.61332764704947,6,9935.066867676536,2.0,2,592907.0
2.3834047592823766,48.89694255126889,7505,40.63656237074936,6,9974.4015549417,2.0,1,452849.0
2.3957128724683705,48.87593172645652,75014,57.88277326518399,2,10062.666974334055,2.0,0,711801.0
2.3178316100558387,48.882880629916535,7500,73.48033206950268,6,9981.88888607979,3.0,2,794353.0
2.3322128427944806,48.83115799908609,7500,126.62018211514945,2,9981.88888607979,1.0,1,1134994.0
2.446153614955008,48.83167640297353,75013,55.70342615371587,1,10190.767780889602,3.0,1,419477.0
2.338547867154078,48.83243805253744,75011,75.8673549276838,2,10149.03143443424,2.0,0,847382.0
2.341240952047578,48.88895397575911,75011,107.888375903285,1,10149.03143443424,0.0,3,940699.0
2.3463070190660207,48.825220252088535,7504,44.30436778171925,3,10257.726066885674,2.0,1,480340.0
2.3271901320358466,48.84024829192189,75010,105.0179148824818,6,9903.611678623716,0.0,1,708004.0
2.381335634850562,48.85014014899887,75017,94.82319932007044,3,9899.474939437398,1.0,3,877234.0
2.446598899473732,48.84560476044016,75014,89.82387242971987,1,10062.666974334055,3.0,2,1188230.0
2.240422541512037,48.814998333204656,7502,111.0881401372743,4,9569.91693818043,0.0,0,913415.0
2.3414067792430404,48.85282388397627,75012,51.68849782454533,6,9935.066867676536,0.0,2,331687.0
2.383098888015193,48.83482810366006,7504,57.970249268045606,1,10257.726066885674,3.0,0,849676.0
2.280086681234497,48.85952313571979,7505,135.0453788029343,2,9974.4015549417,1.0,0,874074.0
2.346211766067992,48.8211082361147,75016,42.53613778502036,3,9678.120674588112,0.0,1,512313.0
2.458054185364236,48.82777195131456,7509,128.13316228627923,4,9775.064380528089,2.0,3,1198876.0
2.265978915973615,48.81511581358561,75012,93.53571413541424,2,9935.066867676536,2.0,2,1005073.0
2.3216655117882885,48.88354437101548,7503,56.72978219187188,3,9983.017238897526,0.0,3,551176.0
2.343224513774429,48.81787269226457,7508,119.4372756070678,4,9848.31703220121,2.0,2,1102458.0
2.310718258226679,48.89009230207065,7500,63.011325369753465,1,9981.88888607979,1.0,1,621456.0
2.400988060470897,48.81405051860913,75017,96.23684111011842,4,9899.474939437398,2.0,2,606129.0
2.3609950562031448,48.875957853568416,7508,132.18658278999436,3,9848.31703220121,1.0,2,1160206.0
2.400529398309427,48.82256922270943,75011,59.469532461524935,6,10149.03143443424,3.0,0,848979.0
2.2461744041396416,48.84844546241143,75012,39.33436748723676,3,9935.066867676536,3.0,1,257829.0
2.244981568717697,48.88292534359396,75015,77.1185673750367,2,9813.040070612808,0.0,2,1055053.0
2.227628706013574,48.87446024236551,75012,112.2100553503372,6,9935.066867676536,2.0,0,1111218.0
2.295506843518406,48.86500888275092,75015,108.53145487157724,4,9813.040070612808,0.0,1,1154356.0
2.343073661390753,48.83595505071232,75012,59.66685416417127,3,9935.066867676536,2.0,1,722382.0
2.323161959322978,48.89392290233715,7500,52.3097699673565,2,9981.88888607979,1.0,0,587880.0
2.4691708565424224,48.86414122458998,75012,73.40454156909043,1,9935.066867676536,0.0,1,731058.0
2.352548842559444,48.850995571180285,7502,147.52841440219385,4,9569.91693818043,1.0,3,1492264.0
2.349261486853574,48.82188883175663,75016,45.02806748757578,1,9678.120674588112,0.0,3,356905.0
2.365754301212724,48.86682082300974,7506,131.25437745345795,4,9841.359840436731,2.0,0,1371634.0
2.2347843539583354,48.85724180040977,7503,50.68896432167632,2,9983.017238897526,1.0,1,372257.0
2.304202162464133,48.88688390211279,75015,46.47295732876964,3,9813.040070612808,1.0,1,531600.0
2.292816338703134,48.86479524153158,75012,92.96663091476996,1,9935.066867676536,1.0,2,1316777.0
2.354961105870648,48.87816856222319,75011,123.39997375746375,1,10149.03143443424,0.0,2,911707.0
2.3612728345860696,48.87958588278684,7504,143.9506440826736,4,10257.726066885674,3.0,0,1489133.0
